Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
u2/g+giDkQSUDhL61BkD5g,2864709541,2025-08-31T21:34:04.889Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
0bSZpwITEw5cLHwoHGPuoA,6200307719,2025-08-31T21:32:10.088Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
0wsjljbBQBill3S4DvnSFA,5355855843,2025-08-31T21:08:30.797Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
nqr3foxACe0ugAhxC6sWkQ,7804659404,2025-08-31T20:52:46.614Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
flUv2MHAvXTijrQTRUkEOg,8126448936,2025-08-31T20:24:25.451Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
qRawB/deGDQGDOyHxPIVuA,7521085227,2025-08-31T19:39:59.032Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
aA4edS65ny53XKvniSIiLQ,9353431965,2025-08-31T19:32:48.546Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
HF8Keyns/naBVEzI4/aiEw,4141220247,2025-08-31T18:56:54.386Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
81giHuHy5ILUsbSLbSfelg,4423064136,2025-08-31T18:39:22.581Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
yJDx+RSTomsYyC1F63mTiQ,1777581220,2025-08-31T18:23:02.896Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
TzWzoIuK2Xi3loRWpCzhgA,8128194984,2025-08-31T17:12:52.502Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
aN2YfLUkGZpR3luB4r1ioQ,7895580997,2025-08-31T16:16:38.848Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
w7R0hCfISz4T+rHyhbp96A,1534313429,2025-08-31T15:50:16.732Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
L5RMYwf+SH1exNdS1BnPjQ,7051420612,2025-08-31T15:46:05.767Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
L3XAX4zwXTFza7vpMdZY6w,5464622593,2025-08-31T15:30:05.397Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
00yoZPJhPViPC6Xd/YzanA,2776419362,2025-08-31T15:06:23.669Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
3fs8ZzhN3aVaSmcsDlIJYg,4887409598,2025-08-31T14:42:58.789Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ereZqp9dlCVIycVX3qLp5g,3218752195,2025-08-31T14:32:11.488Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
2YJidU7K5uRvEIO1ar1zFQ,4682230540,2025-08-31T13:43:32.457Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
iF94CC6oYS6cCyZfzCAUOQ,4432369838,2025-08-31T13:21:58.102Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
di/YG3jmgd116OGYSBjUQg,8875649633,2025-08-31T12:33:12.673Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
NWTzH4DOB42ep4Ok7wU/cA,3226945870,2025-08-31T12:08:09.684Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
c28ij6ks80Q0lqYb3tvAUg,7386664807,2025-08-31T12:00:56.706Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
9f7z8RKkirVzTJy6++dLjQ,2579981078,2025-08-31T11:49:39.543Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
8ll91rLTU711huTpXLilUg,4638941042,2025-08-31T11:29:47.955Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
OqVm5M4Kz195QoLf3Zbezg,4853539383,2025-08-31T10:31:18.266Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
APXAexGzb/NHdeB+glbcew,6051225875,2025-08-31T10:00:11.327Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
fkb5VElUYpmsdsQgdCbLbQ,4968981880,2025-08-31T09:56:30.968Z,Game,135612848930583,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
pObQ73CF4EJMmvkWEsslng,7767111008,2025-08-31T08:48:54.447Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+yzquY7SNDOmOgbi5u9nFw,9032597709,2025-08-31T07:55:03.207Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Jv1AakdC8oh2zbsxafVAeQ,8098860457,2025-08-31T07:02:59.878Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+lesUjMC4aqnLYYSQBc1Ww,9347643754,2025-08-31T06:56:10.252Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
K3MREQZQ6/9tdq8ncSNHKA,9054172109,2025-08-31T06:11:35.024Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
fy2wKM1dGixrQ2+7gTcrTg,1741487478,2025-08-31T05:45:33.715Z,Website,Null,Null,Null,5614148792,Colorful,Pants,Released,4.0,5.0
lPohEvm3YnB/QKlhhKZUZQ,7589916466,2025-08-31T05:39:00.467Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
nn+mXzqO277SLve4N1V0Iw,7697886756,2025-08-31T04:35:29.707Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Wg8nh09vIi5Tjkj3FzhfXA,8696760906,2025-08-31T03:24:54.004Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
lN2Pu77ijzGZuAoo+/mNAw,1592806457,2025-08-31T02:08:59.588Z,Game,7041939546,Null,Null,5613942423,Royal Blue Semi off-shoulder,Shirt,Released,3.0,5.0
XhD4VkW/UMnUKOk+MV/LNg,2866922591,2025-08-31T02:06:22.409Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
fD6LbO4eB4S4t4ZfhkuTug,4230926704,2025-08-31T00:32:56.127Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
wTx4ku3a1qauXHr49vry+w,3590415843,2025-08-31T00:30:33.216Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+Zh5XUoxB3JPgdpj6Ye31g,1553658572,2025-08-31T00:22:47.549Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
NLZWkOA+9Dnv7ciVpfUacw,7254544343,2025-08-30T23:27:45.798Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
QQoTHmPjtPd9imjuDFDPvw,4163620859,2025-08-30T23:17:49.205Z,Game,4924922222,Null,Null,5614149479,[🔥ORIGINAL🔥] Golden,Pants,Released,4.0,7.0
KgQ97qZH9XfKzbYQUkYxDQ,8373601859,2025-08-30T21:11:20.494Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
7eC1zY/oMBLlN0hi4awE3w,1336050845,2025-08-30T20:48:24.847Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
vLVsMHlTT5sheIrrbigrLA,8893797298,2025-08-30T19:40:56.015Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
MXXhcNPEVWg86ybBgcJ57A,7607895122,2025-08-30T18:53:22.546Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
BHFs3IQ2Q6RAlALJsd6ScA,493455682,2025-08-30T18:12:57.966Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
OC+2o/gJd643he9Oe10jBA,2740838952,2025-08-30T18:09:00.090Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
i76qmR47mphiIOk9WQtGug,9341432889,2025-08-30T17:24:28.849Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+BWsonmuPEj2x1SNNp5W8w,5344349057,2025-08-30T17:24:01.033Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Sjj5zCGw+Ipxx649za2o7A,7754473972,2025-08-30T17:09:09.768Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
EjAg/0egKxzWb+cIspCOjg,9361194889,2025-08-30T17:00:13.741Z,Game,920587237,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
hc3OPY8jBWp5WIBWeojfuw,9242504271,2025-08-30T16:39:06.055Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
4W5FRfIp6bUAV7JR2MDcfA,3064262043,2025-08-30T15:31:02.355Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
gf1CCd1W0aClOxEDWkzsXA,5431497913,2025-08-30T15:17:07.360Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
l0DQ61VIlVJKEnVGME7XFw,7716070073,2025-08-30T14:38:23.261Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
u/GLoHiq/zRRRfopP6zkVw,1898444072,2025-08-30T13:53:18.083Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ImJGi5BJBqf8xZSm4y+2nw,7420260845,2025-08-30T13:50:56.870Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
SrQfiUlxDno60c43lfbZbQ,3790002909,2025-08-30T13:49:33.797Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
rkkYpuS2+1iF6Kcervjdag,7852372861,2025-08-30T13:46:35.575Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
MMxOMiv/gRu14/V3ZiPn9w,7584674808,2025-08-30T13:34:54.123Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
DDx17YThFqn1mtiOmpjnAg,3440924768,2025-08-30T13:23:57.958Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
CxiOCxB2p00THGrPHmlA5g,7024574730,2025-08-30T13:11:15.721Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Ius4WfSr/BVVyAmyCsIL6w,8441533414,2025-08-30T13:10:47.565Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
nwyDMbhzBH7mpnQHEBLH2A,8036604612,2025-08-30T13:08:32.393Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
L4THXMNBkyRHQhEYcPYy8g,9266859525,2025-08-30T12:40:31.177Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
cWynYTwVHFXb3ej4WUyb7g,7995364044,2025-08-30T12:25:59.834Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
CsAkhE+Un5Zh5OKkyXEkWg,6211676869,2025-08-30T11:41:54.463Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
kpQzT1zy38Ex9oRlO0HNAA,4883668282,2025-08-30T10:48:41.989Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
