Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
EobrzMSU2WOWdyqfnGWdlA,15185735,2026-01-31T23:35:31.312Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
/0gmvQ+QTb+reLnSRYYu7A,8572940752,2026-01-31T17:02:46.304Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
tXCyZ+FA+uhoZ0eqScuxKA,5104156500,2026-01-31T16:57:18.465Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
W/3gmPMPF/PdTtpy1dj7Wg,9684021653,2026-01-31T16:50:15.808Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
xWCiowH9omPiuQjNxh2KmQ,8722226091,2026-01-31T11:31:36.501Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
8S2az/ySi9gtkEIzpm6QnQ,4542774169,2026-01-31T11:09:28.051Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Ah3qyzfFrN1zXBPJIq3+pA,4310536334,2026-01-31T10:34:23.912Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
pRm87auRvi87bYxi85aN/w,7598933515,2026-01-31T10:19:10.845Z,Website,Null,Null,Null,5556179718,[SKYLINE SUMMER EDITION] Summer Shorts,Pants,Released,4.0,5.0
NscMR6bKk+wvu7Gm+8Cb6g,5435650031,2026-01-31T08:43:15.513Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
AomCMvVV4RlLVIZUOckKFw,7387668361,2026-01-31T06:26:57.689Z,Website,Null,Null,Null,5653626209,Hybrid red eternal phoenix sleeves,Shirt,Released,4.0,5.0
N8j4BpgPGYKRzSaP57//gA,1721225309,2026-01-31T04:56:05.654Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
SwzE60UB/I3InYwTUV000w,10012951765,2026-01-31T04:06:18.390Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Iqqrd14FzUBgIhhVoptgtg,7557953263,2026-01-31T02:51:34.577Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
9v1BQOcVzv6+9j1Mz9kWeg,3198519764,2026-01-31T02:11:41.495Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
30CHQuvWIfgUn0oMqkGZhQ,9955037407,2026-01-31T01:21:29.669Z,Website,Null,Null,Null,5556179718,[SKYLINE SUMMER EDITION] Summer Shorts,Pants,Released,4.0,5.0
90glKtHPixPQPD5kurtbJw,2713223848,2026-01-31T00:44:34.038Z,Website,Null,Null,Null,5556179718,[SKYLINE SUMMER EDITION] Summer Shorts,Pants,Released,4.0,5.0
