Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
LHo8Ird6+aj5FkFgn9u/uA,3016683079,2025-02-28T23:59:32.102Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
CHp4yA2OSJamq0nnBB75Ww,4893635856,2025-02-28T23:59:06.140Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
iIdtIxCOT81gEXDIFvbGdw,7167675498,2025-02-28T23:57:30.414Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+P4bj5d1QjNQU3qUldwqnA,8070689614,2025-02-28T23:57:28.420Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ATeblFMPFwYF7gq9P2VrSg,7763721065,2025-02-28T23:57:24.658Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
t9hHsXitZAfAKiisOTiwaw,4175933044,2025-02-28T23:57:22.670Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
dsgqTmkmN+ueJVo548JuyA,1728083714,2025-02-28T23:55:06.765Z,Website,Null,Null,Null,5636311869,Blue sparkles,Shirt,Released,4.0,5.0
nR/qJYQL5Pd4Fp7h6xBI7g,1863025188,2025-02-28T23:50:14.297Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
62PlSY7fyxJik1sV18/i+w,1571856067,2025-02-28T23:45:18.728Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
D+2uiMN+BG9Fla/HaYHmsQ,7596631158,2025-02-28T23:43:39.388Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Eio1i+uM/yRAfRxCYR2FVA,5755447905,2025-02-28T23:43:27.851Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
5DcO3FTV2o814mYtpCelng,7158434551,2025-02-28T23:41:08.561Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
a3tPQUM7x2mpbVk0NeR7Ug,7908669165,2025-02-28T23:38:55.610Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
d3WYN5dTZxxDaUxfGeP/4Q,3705557914,2025-02-28T23:38:00.169Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
/sVg8AhEqR49guo//TuTIw,1481618528,2025-02-28T23:33:51.493Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
3XzIUNBjNP/TrS6TiUzbeg,3238151712,2025-02-28T23:33:33.063Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
qyXuSrIbyZMhtEkfeWmlJA,4326910255,2025-02-28T23:30:24.343Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
4DOV66b3ZP8Pf4W5h2CGlQ,3737314638,2025-02-28T23:29:46.418Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
vULSEMVV5w/BkRTnIShv0w,7746459370,2025-02-28T23:27:39.053Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
5TjnE0KGcbte0nY3AWVKiw,4714357878,2025-02-28T23:19:06.226Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
QChB28LF7pc+P2DbXy0PIw,5590841904,2025-02-28T23:17:36.923Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
aC2BggIX7XCMMp6qsYA3GQ,4073484814,2025-02-28T23:16:36.756Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
