Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
7IyvTJbfabi0ZuhJxtNxNA,7107092298,2025-01-31T23:58:54.530Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
72qiSzfMoIZaaZXj+w3eZA,2789452966,2025-01-31T23:57:53.218Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
06cXPKcXYQS1hHylBbXNeg,7792580656,2025-01-31T23:55:30.188Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
p/Y6xQfMiXi4WnpJO5ZdPg,7896256129,2025-01-31T23:49:23.889Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
UP+QM5rCDPWbDQV9ZtpSEA,3287011834,2025-01-31T23:47:39.122Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
4EtxVPoE50TQCoQ1mN3GOQ,7741023477,2025-01-31T23:46:33.520Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ivRU/r2nZnOYrn4zreBWnw,4410732179,2025-01-31T23:45:42.277Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Un6DsjVbyKC7842+73sOAg,3399368284,2025-01-31T23:43:39.955Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
e80/zn8g/xL1GX6g/7/DwQ,2623251164,2025-01-31T23:41:09.137Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
fFj/t4AidyAKaSqEvKWuQQ,5019115717,2025-01-31T23:37:42.906Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Tzp8eHR46uOCEkuWWB4wQg,3198790378,2025-01-31T23:35:07.001Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
HzX7tngafTT26cP99hWOZA,7175509441,2025-01-31T23:34:48.191Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
3BjpvijE/qRvadXwNajwUQ,5223536486,2025-01-31T23:31:36.349Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
2z9fahF60o7OCYUiUsWvwg,7282174226,2025-01-31T23:30:35.579Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
f/j44XPo+RlA2xRtCvcnLg,6126124890,2025-01-31T23:30:24.246Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
UUl1rmpvnwKtS3WzISSTrg,7748333105,2025-01-31T23:29:42.322Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
1MAD07Q/E/7Qege5rWDpeg,4476281914,2025-01-31T23:28:15.347Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
fzTcbX6R9+Y6a02dB4zs1g,7077552585,2025-01-31T23:26:55.854Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
QcTeR6/pET+3Nybirv0UrQ,3251140696,2025-01-31T23:26:48.270Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
eym8lCMdfcY7FlbbL7C7+w,7547887048,2025-01-31T23:24:03.564Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
aD+izmKKeTe8iCehTrTSFg,4876337143,2025-01-31T23:20:52.147Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
omVlDldT/YwQw5PM7HCteQ,1549344704,2025-01-31T23:20:34.925Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
jWTocdZn6wDKpUb/VOV9Eg,7600492501,2025-01-31T23:09:55.997Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
BdOkkq9O+D7m63lzWucmow,3467442950,2025-01-31T23:09:41.875Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ITYxJz2njOw3/9JF2gQ6Tw,2037039528,2025-01-31T23:07:01.910Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Uxi/wUqyBzaGPb9zguDatA,7807895837,2025-01-31T23:06:40.387Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
1Xr42kgD/XqhnI4Jkd74vQ,3362716901,2025-01-31T23:02:52.246Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
KavhvSeW1YsrPAT5Z8gKrA,7135356104,2025-01-31T23:02:31.338Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
afmcADTRS7PI2tCRCTS09A,7827650924,2025-01-31T22:59:07.806Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
t0cUiAErk8X0svv32yddrA,4177668017,2025-01-31T22:57:46.258Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
2OSae5tK4l/czFrs+SU5Cw,7086063435,2025-01-31T22:56:38.319Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
tYGsN3OPL9bFEVBaErOivg,3407535716,2025-01-31T22:56:19.516Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
5xsl6Uy+jgOm7NVL4hv3Ow,2019115335,2025-01-31T22:53:31.044Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
HFYqk1aoa4QlrdwKo7bUog,7637437365,2025-01-31T22:52:44.644Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
lbp733ktSSqKcqXT/XfP3w,7824498597,2025-01-31T22:51:03.093Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
HZ/GVdHcy8w7sVwtKiCl9w,7874473575,2025-01-31T22:42:24.205Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
E0U9V61F1C1tedP6RpaOww,3789804439,2025-01-31T22:42:13.183Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
2i4/tVg9leszv8efZxTPoA,4546849873,2025-01-31T22:38:11.039Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
hVCsE9s6VPB/Sqt7uEFuhw,3564635333,2025-01-31T22:34:47.060Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
/QIlFLKBuNPFd6L5DaHDuA,993709054,2025-01-31T22:29:50.219Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
08dhu3Fh2ijYRmRn+FH0SQ,4534925540,2025-01-31T22:26:10.906Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
jgM6TAlyZMi+Vc8km8z4qg,7539923005,2025-01-31T22:26:04.001Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
nh128yBft4kHrJnybfpdtw,7639382454,2025-01-31T22:16:45.835Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Fo5NkpPa17b4Fcpkn7RkLA,2245258574,2025-01-31T22:11:09.224Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
xLyqvG6ScaA4jkvP8CyIdQ,5618223465,2025-01-31T22:09:25.220Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+DoYwEhB6JO2qox9SSHxmQ,4213515203,2025-01-31T22:08:08.326Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
AsKeIaCAdiFENv1eRCmFHw,4233815829,2025-01-31T22:06:30.792Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
cmjXpK+tMWqkY7VGxekjhQ,7756898228,2025-01-31T22:06:19.187Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
o1WKNrwBvMVXiyieolbZlg,7802578149,2025-01-31T22:06:09.209Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
FImbrE4Dah/qwQ2RJXKM5Q,7717472535,2025-01-31T22:05:58.026Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
lypn2okyG1URHmsc3+S0qA,5146661066,2025-01-31T22:00:43.723Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
E09e2in36jyPWu+z8jsCHg,7940852876,2025-01-31T21:57:35.405Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
CboeLFKSivs4KsuPlbeqIg,4970435543,2025-01-31T21:56:42.753Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
zceneQwzEMt2IPDjRZsGZQ,1873581867,2025-01-31T21:56:38.836Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
WJXYfs13P5QFiojmLp5VVw,7861349798,2025-01-31T21:50:21.398Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
amxlfBGtAeGCVUbsDt0EBw,1377908871,2025-01-31T21:49:56.752Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
oZsdbhvmR2Jz1BB2Hit6gw,7860037468,2025-01-31T21:48:12.629Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
O8nRGZyrBUXWv776njqbEg,5415657095,2025-01-31T21:47:52.759Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ps3GHt0f4qZKHnfFZA43kw,2882468406,2025-01-31T21:46:46.580Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
XFB3k3ekuzBxrMZtdHa5tw,5480867230,2025-01-31T21:46:28.142Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
KlY2pJZeIQGhvsXzN/a/6w,2808959119,2025-01-31T21:45:22.075Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
e9oW4CLwNOfptxeLBHyzHg,3813962462,2025-01-31T21:37:43.931Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
By9/28O2YouTtXFxtmAvaQ,4146662990,2025-01-31T21:31:38.787Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
gOWj803v+RTwt3clNfbLRA,7947621590,2025-01-31T21:25:20.506Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Ze/8Axbo+Zu7TfzvS09r8A,5708782097,2025-01-31T21:23:53.886Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
jzU+VvK5UiFqV5iYH5OguA,3730221022,2025-01-31T21:22:52.356Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
wGMUjIBUhgs3nodhNUnmtA,1891269013,2025-01-31T21:16:24.112Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
o7zlPTVwwjejKGUzYhljuA,7883072101,2025-01-31T21:15:39.215Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
tj0yRZTvvq88eNSz6w3I7Q,7016312382,2025-01-31T21:13:36.414Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
S7h/niD0+VHulx+gjwLCWA,5733595994,2025-01-31T21:12:14.181Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
QxXOlOfSh7MrTlhKpZmtsA,2962581713,2025-01-31T21:12:09.677Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
vRHUDQR9VkvEmb/WIs77og,4194798338,2025-01-31T21:08:24.034Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ivqMMQSNbpTiwR32MI6EtA,3886123686,2025-01-31T21:05:28.656Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
wTwcULxi2dDsEKKYpthxUg,2688010220,2025-01-31T21:04:41.567Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
YD34uDhis4bKB5Wr4zAqWw,2883054288,2025-01-31T21:03:42.941Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
9NtlD6v919NgqetEZaOTQw,6127162133,2025-01-31T21:02:14.983Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
hv4AFu3hMlDZeuLZNi6i0A,7072454936,2025-01-31T21:00:07.565Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Gl6vXHs3DDIrJBI21MkmbA,7480341318,2025-01-31T20:59:19.685Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
yOiusWyw6K674XNgNz/Q1w,4048705375,2025-01-31T20:58:24.828Z,Game,8737602449,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
e9vIpboA7jn7mYRIju1y0A,6084464958,2025-01-31T20:49:02.911Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
OQ5/YPt2RySte+IZweu9Xg,7550547051,2025-01-31T20:37:00.679Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
i6TW45ABIQ8dAFVaO29d8Q,7769212018,2025-01-31T20:37:01.105Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
jIoZUbJLR8iiXyYVuatinQ,7638093090,2025-01-31T20:36:31.954Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
