Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
89ObPLoLazeP4v7DOeFP7w,8234517885,2025-12-31T23:54:29.431Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
dTvJcTO3hBrizTUG5arBkQ,8882184450,2025-12-31T23:03:25.966Z,Game,920587237,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
qpfY3FRkanp/gjR7lAhEog,5003241789,2025-12-31T21:53:06.541Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Uh5P7qYrWzOb7+mN9UA/7A,3844066915,2025-12-31T19:52:24.958Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
u3Mpnr559E/EfP2LAtwhKw,10120826163,2025-12-31T19:27:44.023Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
PP19HYqTmpUw8PKwKv/LNw,7219269719,2025-12-31T17:25:34.181Z,Game,18337348818,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
A+d3GgXZpka9Vs7yCn4KEw,3167491510,2025-12-31T17:16:38.529Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
JemgCKjcjWN+/XrIIgaDcQ,7848106023,2025-12-31T10:41:34.886Z,Website,Null,Null,Null,5623005197,Metal emo,Pants,Released,4.0,5.0
G/hnXxmbW1mo69Z6Ev9bww,1864552675,2025-12-31T05:07:02.847Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
RaW6YHfmOj0cR7oyue/lFw,3129364698,2025-12-31T02:51:10.958Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
BOE8CjRYJCqXjrr1quMVyg,8846649902,2025-12-31T01:14:13.952Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
S/mvZjx5ueAIO84BVQFsLg,9746014459,2025-12-31T00:45:00.715Z,Game,7041939546,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
LshOoYKxMHk1GeHI1o5M8A,3340979136,2025-12-31T00:19:54.266Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+/jKQsliiDkVcgDJ7Eb7ww,7260882600,2025-12-30T22:06:18.627Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
LlHHXKUnNHdzX72LafXdFg,4228519886,2025-12-30T21:58:11.627Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
IIcQrwiz8OoIhj0Pt/W7vg,3620572938,2025-12-30T19:45:05.604Z,Website,Null,Null,Null,5623006768,Smooth Yellow Stripes,Pants,Released,4.0,5.0
/frxPGRTZZoKolUHzImnVA,2359808016,2025-12-30T17:46:38.672Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
05EvjgPx4BSkZ2TxImVYEw,7749272326,2025-12-30T17:14:00.697Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
qdSuuC7RC0eiGslF2oiwjg,5372536519,2025-12-30T04:32:21.547Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
kigmcnVlCcVI68GsbAsNzQ,321259561,2025-12-30T03:44:19.902Z,Website,Null,Null,Null,5615994713,Blue Water,Shirt,Released,4.0,5.0
G1l0+b5b0ZN4b4cp7ozlrw,8259136407,2025-12-29T22:27:10.653Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
XMWLOp/5LtghX3SeZacLvA,5400813801,2025-12-29T22:00:45.234Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
AriD2sk9YIaV10hrqXu/Bg,5420440315,2025-12-29T21:22:36.552Z,Website,Null,Null,Null,5636311869,Blue sparkles,Shirt,Released,4.0,5.0
ZgG3MbENooRrzDVD3YtCpA,9567327024,2025-12-29T17:41:41.758Z,Game,120700541929930,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
uLXsXTiH4fU2wOUC11AklA,3235386506,2025-12-29T14:55:55.527Z,Game,920587237,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
psaKq7vSNnAwMGfS0Hea+Q,2902084230,2025-12-29T14:23:10.074Z,Website,Null,Null,Null,5581703428,[SKYLINE FASHION] Flower Tank Top,Shirt,Released,4.0,5.0
/q+XWvMPgl1v7ZhQNAjnsw,5083518314,2025-12-29T13:25:19.865Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
WqQlD8DphLuu6UydY8+iWQ,2845415827,2025-12-29T12:20:52.036Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
bTYXaKc/nieqnqkIuP2hUA,3206709190,2025-12-29T12:15:38.526Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
Ucb30FkFRcfMMYkGchJS6A,8391454158,2025-12-29T09:14:57.734Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
aRKFJf+q2n8qAJK3+9zT6g,5861026730,2025-12-29T09:02:44.390Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
mXD0e8cB2zavF+1mFd712Q,5186405502,2025-12-29T07:44:32.908Z,Game,5814304937,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
