Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
eyg3eTk4gRrd6aKM8CNtsQ,8228312066,2025-06-30T23:39:22.865Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
tVaFbHFMCHJAbSbTyIh43A,7446825434,2025-06-30T22:48:32.800Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
i986jDB00yVWYwR3WKRzqQ,8802251006,2025-06-30T22:31:03.165Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
XOVY0XidKprd07xPNFcthA,8247275206,2025-06-30T22:04:13.422Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
+8aTUrXvULHnYoTYZfBC/g,8266171034,2025-06-30T21:56:47.543Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
bJ92T1FSy4MMrjl9TiJjzw,3010207078,2025-06-30T21:39:05.323Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
78ssMrwDYNjuLwW6UHB8+g,7196559152,2025-06-30T21:12:52.413Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
jQCQIZ5zWvMvkWVbh0g+hA,7163301133,2025-06-30T20:59:31.724Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
F+db78KysggEW5CX6Uh0iw,5204444077,2025-06-30T20:42:15.489Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
57UHbPwrul16RyOZhEH/2g,5179143773,2025-06-30T20:36:26.996Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
skUlzNrSSuhcar2uWBZl2Q,3925753060,2025-06-30T20:24:33.829Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ohXX+HCofMpZxX+bHDN2Hw,4480157491,2025-06-30T20:06:05.824Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
d3GLLNVYTLFW9uXHEA+weQ,2805758000,2025-06-30T19:58:06.895Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
