Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
YqTnILrEhhWW8VGhO3Gtqw,7897068285,2025-09-30T22:26:23.081Z,Website,Null,Null,Null,5750286497,Halloween cloth 10,Pants,Released,4.0,5.0
3i3ML1zAVnxK0pA6aRILrA,7547808775,2025-09-30T18:16:09.980Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
gPbE5U/rVfcxgmwhtFylwQ,3270440491,2025-09-30T17:45:17.491Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
tJf78b60WcHYrpKz2SQu4Q,9191404771,2025-09-30T16:58:25.689Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
0fBi35aJC/MvWKJT8fmx5A,8035192745,2025-09-30T10:43:19.441Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
AsWEThc5DjrREXmzXLW+IQ,8132435091,2025-09-30T07:26:26.051Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
C02w864RtR7C11IlvJBKOw,7000166799,2025-09-30T05:52:01.618Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
q+5nxIyBJ1iXIrJG/J9a9w,9060449418,2025-09-30T02:18:48.926Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
VVIUsgTi8BGTvop8q7DXAg,3685105554,2025-09-30T02:02:52.921Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
txwbGWItWUdnaVbIZymu4g,7688770486,2025-09-30T01:55:58.782Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
rklt3Y+siZYsh1R37F1c4Q,5457713620,2025-09-30T00:45:47.415Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
ENlyK2kexvSjrgZrQdzOmw,3919879843,2025-09-29T23:16:33.466Z,Website,Null,Null,Null,5609701740,[SKYLINE TROLL] Pink Checkered Pattern,Shirt,Released,4.0,5.0
k4u2q6jF9B+nBEkN39X54w,1954510233,2025-09-29T21:00:55.743Z,Website,Null,Null,Null,5631638581,[🔥ORIGINAL🔥] Orange fade,Shirt,Released,4.0,6.0
3VtQhnxqHu9JQxMnDQe9Xw,8746925404,2025-09-29T20:57:34.338Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
iPLBNSWRuDuLM7RJVaPsbw,2204610590,2025-09-29T18:59:25.880Z,Website,Null,Null,Null,5550654500,[SKYLINE MUSIC] Beat Shirt,Shirt,Released,4.0,5.0
EVpkebR7nB3FugPwHwBlVA,2204610590,2025-09-29T18:57:41.016Z,Website,Null,Null,Null,5547137496,[SKYLINE MUSIC] Beat Pants,Pants,Released,5.0,7.0
xhvz8peha+BMjGgs7VIbRw,3618609809,2025-09-29T16:13:04.411Z,Website,Null,Null,Null,5623008935,Bear,Pants,Released,4.0,5.0
yuL25udewR3CaqE3jjtKnQ,7938841496,2025-09-29T16:04:16.126Z,Website,Null,Null,Null,5631394019,[🔥ORIGINAL🔥] White line,Shirt,Released,4.0,6.0
E1rRCPBiPIMotaycxSxRnA,7967417115,2025-09-29T15:38:25.409Z,Game,12985361032,Null,Null,5623008935,Bear,Pants,Released,3.0,5.0
